,user list
0,76561198041636864
1,76561198373978112
2,76561198125563904
3,76561197968244736
4,76561198144593920
5,76561197986070528
6,76561198033338368
7,76561197960830992
8,76561198864080912
9,76561197989421072
10,76561198035304464
11,76561198430724128
12,76561198146150432
13,76561199442763808
14,76561198072365104
15,76561198107779120
16,76561197970686000
17,76561198273445952
18,76561198165114944
19,76561198812323920
20,76561198287036496
21,76561198137081936
22,76561197971972176
23,76561198268498000
24,76561198248714336
25,76561198399594592
26,76561199063908464
27,76561197970538608
28,76561199190163568
29,76561197984866416
30,76561197977682032
31,76561198085365888
32,76561198167105680
33,76561197964009616
34,76561198067073184
35,76561198141317280
36,76561198165442720
37,76561198204706992
38,76561198009966768
39,76561198085734576
40,76561198312153280
41,76561198048092352
42,76561198861459648
43,76561198099718336
44,76561197982589136
45,76561198431371488
46,76561198815748320
47,76561198094319840
48,76561198277984480
49,76561198028562656
50,76561198452768992
51,76561198089052400
52,76561198123942144
53,76561198146650368
54,76561198873542912
55,76561198286569744
56,76561198330888464
57,76561197967524112
58,76561197974085920
59,76561198880473376
60,76561198019576096
61,76561197997793568
62,76561198316814624
63,76561198937964832
64,76561197972939056
65,76561197964345648
66,76561198138491184
67,76561198011916592
68,76561198293909824
69,76561198026424640
70,76561198183956816
71,76561198040023376
72,76561198108148064
73,76561198144192864
74,76561198113014112
75,76561197979918688
76,76561198162100576
77,76561198337319264
78,76561199022637408
79,76561198853316976
80,76561197990994288
81,76561198260093296
82,76561197971726720
83,76561198098325888
84,76561198999748992
85,76561198009328000
86,76561198292066704
87,76561198075232656
88,76561198263427472
89,76561198140801440
90,76561197965361584
91,76561198029554096
92,76561198015275440
93,76561198151418288
94,76561197997506992
95,76561197980328368
96,76561198957085120
97,76561197991657920
98,76561198112563648
99,76561198151025088
100,76561198051926464
101,76561198040654272
102,76561199239283136
103,76561197993198016
104,76561198304969168
105,76561198151696848
106,76561197982818768
107,76561198271193552
108,76561199376310736
109,76561198052188640
110,76561197971374560
111,76561198872224224
112,76561198007845344
113,76561197979402736
114,76561198006804976
115,76561197980156400
116,76561198223311344
117,76561197975781888
118,76561198085014016
119,76561198027686400
120,76561197962207744
121,76561198055039488
122,76561198166393360
123,76561198111728160
124,76561198281253408
125,76561198071390752
126,76561198158004800
127,76561197966385728
128,76561197988807232
129,76561197998146128
130,76561197987709520
131,76561198027047520
132,76561198132986464
133,76561198147789408
134,76561197995205216
135,76561198010335840
136,76561197966557808
137,76561198022378096
138,76561198081860208
139,76561197989683824
140,76561198027195008
141,76561198001808000
142,76561197996524160
143,76561197981180544
144,76561198079976064
145,76561198005559936
146,76561198049329792
147,76561197999858320
148,76561198168867472
149,76561198215471760
150,76561198073488016
151,76561198314652320
152,76561198016996000
153,76561197992116896
154,76561198010737312
155,76561197977158304
156,76561198173381280
157,76561198041891488
158,76561198140531360
159,76561198872773280
160,76561197992960688
161,76561197993894576
162,76561198059578032
163,76561198047838896
164,76561198080123568
165,76561198843871936
166,76561199169053392
167,76561198062265040
168,76561199337136848
169,76561197993312992
170,76561198005879536
171,76561198039687920
172,76561198142366448
173,76561198061519616
174,76561198055326464
175,76561198818517760
176,76561198259528464
177,76561198011810576
178,76561197999899408
179,76561198427374352
180,76561198117045024
181,76561198084735776
182,76561198024975136
183,76561198012023584
184,76561198962238240
185,76561197965820704
186,76561198320452400
187,76561198324925232
188,76561198158938944
189,76561199200543552
190,76561198054482752
191,76561198022296384
192,76561198035182416
193,76561198048101200
194,76561197967999824
195,76561197989634912
196,76561198094803808
197,76561199220147040
198,76561198018446176
199,76561197986276192
200,76561198075061104
201,76561197972390768
202,76561199174853504
203,76561199026447232
204,76561198120395648
205,76561198047134592
206,76561198126957440
207,76561198072431488
208,76561198055498624
209,76561197994894208
210,76561197963584384
211,76561198061372288
212,76561198004003728
213,76561198070678416
214,76561198237680528
215,76561197983048592
216,76561198091494288
217,76561197999850400
218,76561198006756256
219,76561198022820768
220,76561198085858208
221,76561197969417120
222,76561198037246896
223,76561197974684592
224,76561198320362416
225,76561198013924272
226,76561197992158144
227,76561198110483392
228,76561198011515840
229,76561197993780176
230,76561198012957648
231,76561197971948496
232,76561198151386064
233,76561198174200784
234,76561199108719568
235,76561198013457376
236,76561198143390688
237,76561198053417952
238,76561199077712880
239,76561197969908752
240,76561198041400336
241,76561198382638096
242,76561198035248144
243,76561197988422688
244,76561198006617120
245,76561198000088096
246,76561198111654944
247,76561197967459360
248,76561198037222432
249,76561197970334752
250,76561198030496816
251,76561198054106160
252,76561198163723312
253,76561198061241392
254,76561197995852848
255,76561198023623744
256,76561199105213504
257,76561198307615808
258,76561198093427776
259,76561197961692240
260,76561198864811088
261,76561197968073808
262,76561198143972432
263,76561197984785488
264,76561197993288784
265,76561198157038672
266,76561198008091744
267,76561198190511200
268,76561198036944000
269,76561198038516864
270,76561198073414800
271,76561198024270992
272,76561197982893200
273,76561198274438288
274,76561197998908560
275,76561198071760032
276,76561197982540960
277,76561197970482336
278,76561197976028336
